event_name,decision,subject,condition,res_timestamp,n_star,n_game,filename
inner_band_4,1,01TG,im,419358689,14,2,im_log_game_2
inner_band_5,1,01TG,im,419359623,14,2,im_log_game_2
inner_band_6,1,01TG,im,419360657,14,2,im_log_game_2
inner_band_7,1,01TG,im,419361686,14,2,im_log_game_2
inner_band_8,0,01TG,im,419362621,14,2,im_log_game_2
outer_band_1,0,01TG,im,419363660,14,2,im_log_game_2
outer_band_2,0,01TG,im,419363660,14,2,im_log_game_2
outer_band_3,0,01TG,im,419363660,14,2,im_log_game_2
outer_band_4,0,01TG,im,419363660,14,2,im_log_game_2
inner_band_1,0,01TG,im,419368942,7,2,im_log_game_2
inner_band_2,1,01TG,im,419369983,7,2,im_log_game_2
inner_band_3,1,01TG,im,419371017,7,2,im_log_game_2
inner_band_4,1,01TG,im,419371950,7,2,im_log_game_2
inner_band_5,1,01TG,im,419372982,7,2,im_log_game_2
inner_band_6,1,01TG,im,419373941,7,2,im_log_game_2
inner_band_7,1,01TG,im,419374980,7,2,im_log_game_2
outer_band_1,0,01TG,im,419375999,7,2,im_log_game_2
outer_band_2,0,01TG,im,419375999,7,2,im_log_game_2
outer_band_3,0,01TG,im,419375999,7,2,im_log_game_2
outer_band_4,0,01TG,im,419375999,7,2,im_log_game_2
inner_band_1,0,01TG,im,419381294,13,2,im_log_game_2
inner_band_2,0,01TG,im,419382331,13,2,im_log_game_2
inner_band_3,1,01TG,im,419383264,13,2,im_log_game_2
inner_band_4,1,01TG,im,419384296,13,2,im_log_game_2
inner_band_5,1,01TG,im,419385343,13,2,im_log_game_2
inner_band_6,1,01TG,im,419386297,13,2,im_log_game_2
inner_band_7,1,01TG,im,419387327,13,2,im_log_game_2
outer_band_1,1,01TG,im,419388282,13,2,im_log_game_2
outer_band_2,1,01TG,im,419388282,13,2,im_log_game_2
outer_band_3,1,01TG,im,419388282,13,2,im_log_game_2
outer_band_4,1,01TG,im,419388282,13,2,im_log_game_2
inner_band_1,0,01TG,im,419408373,11,2,im_log_game_2
inner_band_2,0,01TG,im,419409405,11,2,im_log_game_2
inner_band_3,1,01TG,im,419410362,11,2,im_log_game_2
inner_band_4,1,01TG,im,419411409,11,2,im_log_game_2
inner_band_5,0,01TG,im,419412362,11,2,im_log_game_2
inner_band_6,1,01TG,im,419413303,11,2,im_log_game_2
inner_band_7,0,01TG,im,419414423,11,2,im_log_game_2
inner_band_8,0,01TG,im,419415363,11,2,im_log_game_2
outer_band_1,0,01TG,im,419416304,11,2,im_log_game_2
outer_band_2,0,01TG,im,419416304,11,2,im_log_game_2
outer_band_3,0,01TG,im,419416304,11,2,im_log_game_2
outer_band_4,0,01TG,im,419416304,11,2,im_log_game_2
inner_band_1,0,01TG,im,419421772,19,2,im_log_game_2
inner_band_2,1,01TG,im,419422620,19,2,im_log_game_2
inner_band_3,1,01TG,im,419423742,19,2,im_log_game_2
inner_band_4,1,01TG,im,419424774,19,2,im_log_game_2
